编号,组织名称,中促会,民促会,联合国,成立时间,出海时间,领导人,重要员工,资本类型,注册地,注册形式,捐赠金额（出海前）标注年份,,捐赠金额（出海后）,,官网的组织理念,组织结构（参考年报）,是否有独立的海外办公室——组织结构,官网关于海外项目的组织理念——目标,海外项目的名称,海外涉及的地区,海外服务内容,服务形式,主要成员是否有官方背景,主要信息来源,是否有网上披露,是否持续性披露,走出去程度
51,南京玄武环境文化促进会,1,1,0,2014年,——,法定代表人钱国强,——,——,江苏省南京市,社会团体,——,——,——,——,——,——,否,——,——,——,——,——,——,新闻、百度,是,是,海外交流访问
52,徐州市心缘志愿者服务中心,1,1,0,1997年,——,创建人郑复生,——,——,徐州,社会团体,——,——,——,——,愿景：残健平等，共享社会进步成果。使命：为残障人士提供专业的志愿服务。理念：以真诚无私的心，结美丽善良的缘。核心价值观：专业、平等、包容,——,否,——,——,——,——,——,否,新闻、百度、官网,是,是,海外交流访问
53,江苏省妇女儿童福利基金会,1,1,0,1986 年,——,理事长赵鹏,顾汉萍、唐卫民、顾敏、陈殿云、宋晓辉、张惠春、王文、凌春香、朱长河、王华、刘书华、周春松、姚蓓、徐文荣、薛亮、马晨霞、艾叶芳、陈澄、崔效辉、赖海燕、马向真,——,江苏省,基金会,——,——,——,——,始终把广大妇女儿童对美好生活的向往作为奋斗目标，努力建设一个妇儿慈善特色鲜明、辨识度高、品牌影响力大的基金会；着力打造一个理念新、机制活、专业化程度高的基金会；始终做一个守法合规、公开透明、安全发展的基金会；真正成为一个让党放心、让广大妇女儿童需要和满意的基金会,——,否,——,——,——,——,——,是,官网,是,是,海外交流访问
54,苏州工业园区绿色江南公众环境关注中心,0,0,0,2012年,2024,方应君、马军,——,——,江苏省苏州市,民办非企业单位,——,——,——,——,使命：让地球变得更好。愿景：让每个人都享有美好的生活环境。价值观：行动改变未来,——,否,围绕着推动全球可持续发展，在气候、性别、能源等领域加强国际合作与交流，提升社会组织专业能力和影响力，促进多利益相关方协同，共同应对全球性挑战,光伏绿链行动、促进气候和性别领域社会组织发展项目,西班牙、欧盟,宣传教育、环境调研等,直接和间接服务,否,官网、新闻,是,是,海外交流访问
55,西藏善缘基金会,1,1,0,2014年,2020（捐赠医疗用品）,理事长马志坚,——,——,西藏自治区,基金会,——,——,——,——,弘扬慈善文化，开展社会救助等公益活动,——,否,——,向尼泊尔捐赠口罩和氧气机、马铃薯产业合作,尼泊尔,资助贫困群体、开展公益项目等,直接和间接服务,否,官网,是,否,海外项目
56,湖北省青年民营企业家联合会,1,1,0,2017 年,——,会长程阿罗,李健、刘登峰、胡汶杰、邴倩,——,湖北省武汉市,社会团体,——,——,——,——,协助党委政府引导促进年轻一代民营企业家健康成长，服务促进会员企业健康发展,——,否,——,——,——,——,——,部分成员所在企业与政府有合作,官网、新闻,是,是,海外交流访问
57,武汉楚馨社会工作服务中心,1,1,0,2011年,——,理事长：赵立新,黄嫚、杨颂平、秦福应,——,湖北省武汉市,民办非企业单位,——,——,——,——,以专业社工服务，促进社会和谐发展,——,否,——,——,——,——,——,否,官网、新闻、百度,是,是,海外交流访问
58,武汉太阳之家互助中心,1,1,0,2014年,——,法定代表人周立峰,——,——,湖北省武汉市,民办非企业单位,——,——,——,——,为残疾人提供互助服务等,——,否,——,——,——,——,——,否,新闻,是,否,海外交流访问
59,襄阳市环境保护协会 — 绿色汉江,1,1,0,2001 年,2007（接受国际资金援助）,发起人兼原会长运建立、现会长苏青,邓伟、张文学,——,湖北省襄阳市,社会团体,——,——,——,——,保护汉江生态环境，推动环保事业发展,——,否,——,——,——,接受国际资金援助,——,是,官网、新闻、百度,是,是,海外交流访问
60,新疆山水环境保护与可持续发展中心,0,1,0,2005 年,——,法定代表人杨曙辉,——,——,新疆维吾尔自治区,民办非企业单位,——,——,——,——,致力于新疆生态环境保护与可持续发展,——,否,——,——,——,——,——,否,官网、新闻、百度,是,否,海外交流访问
61,赤峰市昭乌达妇女可持续发展协会,0,1,0,2001 年,2003（接受资金援助）,理事长袁文英、秘书长霍桂林,——,——,内蒙古自治区赤峰市,社会团体,——,——,——,——,相信妇女、尊重妇女、服务妇女，她们的成功就是对我们的最高奖赏和回报；珍视每个员工，每个创新永远是机构充满生机和活力的力量源泉；永远争取最佳、不懈追求更好是实现机构可持续发展的基石；做好每个项目，用好每一分钱就是最好的筹资环境,协会实行理事会领导下的秘书长负责制。会员代表大会是最高权力机构；理事会是决策机构；秘书处是执行机构,否,——,——,美国、德国、孟加拉国,引进海外资金、借鉴海外经验,——,是,新闻,是,是,海外交流访问
62,内蒙古服务贸易协会,1,0,0,2023年,——,会长呼戈,谭明涛、宝勒德、顾志刚、王亚滨、吴晓珊,——,内蒙古自治区,社会团体,——,——,——,——,推动内蒙古服务贸易发展,——,否,——,推动中蒙经济合作、促进万里茶道申遗合作,蒙古国、俄罗斯,推动经贸合作、促进文化交流、助力医药合作,直接和间接服务,否,新闻、百度,是,是,海外交流访问
63,天津市和平区善诚社区服务中心,0,1,0,2018年,——,经营者程玉华,——,——,天津市和平区,民办非企业单位,——,——,——,——,为社区提供专业服务，促进社区发展,——,否,——,——,——,——,——,否,新闻,是,否,海外交流访问
64,宁夏扶贫与环境改造中心,1,1,0,1998 年,1998（接受资金援助）,龙治普,——,——,宁夏回族自治区,民办非企业单位,——,——,——,——,努力解决宁夏回族自治区的贫困、环境、性别平等方面的问题,——,否,——,——,美国、德国、澳大利亚、亚洲、加拿大,接受资金援助,——,否,百度、新闻、微博,是,否,海外交流访问
65,长沙市爱乐社工服务中心,1,1,0,2013年,——,法定代表人张盈盈,——,——,长沙市,民办非企业单位,——,——,——,——,以专业社工服务，助力社会发展,——,否,——,——,——,——,——,否,新闻、百度,是,是,海外交流访问
66,安源区社会组织发展中心,0,1,0,2019年,——,法定代表人吴保华,——,——,江西省萍乡市安源区,民办非企业单位,——,——,——,——,促进安源区社会组织发展,——,否,——,——,——,——,——,否,新闻、百度,是,是,海外交流访问
67,东北师范大学家庭教育研究院,1,1,0,2017 年,——,院长赵刚,吕博、李易伦、保全老师,——,吉林省长春市,研究机构,——,——,——,——,推动家庭教育研究与实践，促进家校社共育,——,否,——,——,——,——,——,部分成员有教育领域官方背景,新闻,是,是,海外交流访问
68,长春市晨光未成年人关爱保护服务中心,0,1,0,2017年,——,法定代表人刘雪升,姜旺、王鸿、李晓龙、邵春雷,——,长春市,民办非企业单位,——,——,——,——,秉承“因真理，得自由，以服务”的公益初心，以“仁爱、热忱、专业、进取、合作、创新、卓越”为核心价值，开展未成年人保护工作,——,否,——,——,——,——,——,否,新闻,是,是,海外交流访问
69,赣州慧聪儿童康复训练中心,1,1,0,2003年,——,温嘉吉,潘慧、丁玉珍、吴梦莹、吴丽娟、陈翠萍,——,赣州市,民办非企业单位,——,——,——,——,"帮助有特殊需要的儿童获得科学、全面的教育训练，尽早发挥其潜在智能。帮助家长了解儿童心理知识和掌握正确的教育训练方法。倡导社会、学校对这一部分儿童给予客观评价和接纳。
",财务部、行政部、教学部、发展部、研究部、家长委员会,否,——,——,——,——,——,否,新闻、百度,是,是,海外交流访问
70,江西山江湖可持续发展促进会,1,1,0,1999年,1989（接受资金援助）,理事长徐伟民,刘梅影、陈葵,——,江西省,社会团体,——,——,——,——,通过开展广泛的交流合作，引进国内外人才、资金、技术和信息，促进江西省社会各界积极参与到保护鄱阳湖流域生态环境的行动中，推动江西山江湖区的可持续发展,——,否,——,《山江湖工程战略研究与规划》专项的资助,德国、荷兰、加拿大、英国、意大利等,接受资金援助,——,是,百科、新闻,是,否,海外交流访问
71,南昌益心益意公益服务中心,1,1,0,2010年,——,负责人彭海慧,吉曙光、陈凤,——,南昌市,民办非企业单位,——,——,——,——,秉承“专业、真诚、热情、严谨”的核心理念，以“用专业社会工作服务，帮助教育保护未成年人”为宗旨，践行“用生命影响生命，用青春护航青春”的使命，旨在推动江西公益事业发展,——,否,——,——,——,——,——,否,新闻、百度,是,是,海外交流访问
72,南昌德明公益服务发展中心,1,1,0,2015年,——,江敏,易永荣,——,南昌市,民办非企业单位,——,——,——,——,对心智障碍者的全程生命关怀,——,否,——,——,——,——,——,否,新闻、百度,是,否,海外交流访问
73,南昌太阳花社会工作服务中心,1,0,0,2013 年,——,杜兴强,李荔、唐斌,——,南昌市,民办非企业单位,——,——,——,——,扎根社区，服务社群,——,否,——,——,——,——,——,否,官网、新闻,是,是,海外交流访问
74,陕西省环保志愿者联合会,1,1,0,2013年,——,理事长刘晓君,丁岩林、王冰,——,陕西省西安市,社会团体,——,——,——,——,组织和协调本地区环保社团、青年环保组织和环保志愿者定期组织各种形式的环保宣传教育和环保公益活动，加强社会监督，维护公众环境权益等,——,否,——,——,——,——,——,否,百科、新闻,是,否,海外交流访问
75,陕西益邦人才服务中心,0,1,0,2012年,——,法定代表人张欣,——,——,陕西,非企业单位,——,——,——,——,——,——,否,——,——,——,——,——,是,新闻、百科、微博,是,否,海外交流访问
76,陕西妇女儿童发展基金会,1,1,0,2009 年,2023,理事长：燕君芳。副理事长：孙磊、马金燕。秘书长：刘克辉,理事：杨晖、杜娟、周素琴、王友发、江南、徐继红、李德民、孙艳艳、刘西艳。监事：张亚娣、张俊、强萃萍,——,陕西省西安市,公募基金,——,——,——,——,关爱妇女儿童，维护妇女儿童合法权益，促进社会为妇女儿童的发展创造良好的环境，推动妇女儿童事业全面发展,由理事会、监事会等构成,否,开展与港澳台同胞、海外侨胞、国际友好团体和人士以及各国妇女儿童组织、非营利组织的友好交流与合作,共筑家园——流动儿童保护与发展项目、陕西省社会组织通过早期养育与发展干预促进妇女决策项目,欧盟、世界宣明会,开展国际项目交流、参与国际会议和活动,间接服务,部分来自妇联等官方背景,官网、百科,是,是,海外项目
